"BRICS Country","Gulf Country","Year","Type of Project","Sector","Depth","Companies Involved","Notes","Source/Link"
"Egypt","UAE","2025","Investment","Battery Storage","High","""AMEA Power""","AMEA Power (UAE) will build a $350 million stand-alone battery storage project in Egypt.","https://www.thenationalnews.com/business/energy/2025/01/29/amea-egypt/"
"Egypt","UAE","2024","Strategic MoUs","Renewables","High","""UAE, Egypt""","""UAE and Egypt signed strategic MoUs in manufacturing, renewable energy, and industrial zone development.""","https://www.moiat.gov.ae/en/media-center/news/2024/11/21/egypt-signing"
"Egypt","Saudi Arabia","2025","Electricity Interconnection","Electricity","High","""Egyptian Electricity Transmission Company, Saudi Electricity Company""","""The $1.8 billion electricity interconnection project between Egypt and Saudi Arabia is expected to begin operations in July 2025, allowing exchange of up to 3, 000 MW.""","https://waya.media/egypt-saudi-power-grid-link-60-complete/"
"Egypt","Saudi Arabia","2025","Investment","Solar/Wind","High","""Saudi companies (unspecified), Egypt""","""Five new solar and wind energy projects will be launched in Egypt by Saudi companies, with a combined capacity of 2.5 GW.""","https://www.arabnews.com/node/2590615/business-economy"
"Egypt","Saudi Arabia","2025","Investment","Wind","High","""ACWA Power""","ACWA Power (Saudi Arabia) signed an agreement for a 2 GW wind power plant in Egypt.","https://www.saudigulfprojects.com/2025/02/acwa-power-signs-agreement-for-2gw-wind-power-plant-in-egypt/"
"Egypt","Qatar","2020-2025","Exploration","Oil/Gas","Medium","""QatarEnergy, ExxonMobil""","QatarEnergy signed a farm-in agreement with ExxonMobil to acquire a 40% participating interest in two exploration blocks offshore Egypt.","https://www.qatarenergy.qa/en/MediaCenter/Pages/News.aspx"
"Egypt","Qatar","2020-2025","Investment","Refining","High","""Qatar Petroleum, Egyptian Refining Company (ERC)""","Qatar Petroleum announced the successful start-up of the Egyptian Refining Company (ERC) Refinery project in Egypt.","https://www.euro-petrole.com/qatar-petroleum-announces-the-successful-startup-of-a-refinery-venture-in-egypt-n-i-19693"
"Egypt","Qatar","2025","Long-term Supply Agreement (Discussion)","Natural Gas","Medium","""Egypt, Qatar""","Egypt is discussing with Qatar the possibility of securing natural gas supplies through long-term contracts.","https://english.ahram.org.eg/News/546077.aspx"
"Egypt","Qatar","2025","Joint Investment","Hydrocarbons/Renewables","Medium","""Egypt, Qatar""","Egypt and Qatar are exploring deepened energy ties and joint investment opportunities in hydrocarbons and renewable energy.","https://www.dailynewsegypt.com/2025/05/12/egypt-qatar-explore-deepened-energy-ties-joint-investment-opportunities/"
"Iran","Oman","2020-2025","Pipeline Project (revival)","Gas","Medium","""Iran, Oman""","Iran and Oman are working to revive a long-stalled project to build a sub-sea pipeline to send Iranian gas to Oman.","https://www.argusmedia.com/zh/news-and-insights/latest-market-news/2335551-revival-of-iran-oman-gas-export-deal-could-prove-tricky"
"Indonesia","UAE","2022","Investment","Solar","High","""Masdar""","""Masdar (UAE) developed the largest floating solar power plant in Indonesia, the Cirata Floating Solar PV Plant.""","https://mei.nus.edu.sg/think_in/the-middle-east-indonesias-alternative-partner-for-energy-transition/"
"Indonesia","UAE","2025","Project Development","Floating Solar","High","""Masdar""","""Indonesia signed an agreement with the UAE to develop a 100 MW floating solar power plant in West Java, its second collaboration with Masdar.""","https://www.arabnews.com/node/2596552/amp"
"Indonesia","UAE","2025","Joint Venture","Renewables","High","""Danantara, UAE (unspecified entities)""","""Indonesia's sovereign wealth fund, Danantara, is set to collaborate with the UAE to develop 10 GW of renewable energy.""","https://business-indonesia.org/news/indonesia-and-uae-to-develop-10-gw-renewable-energy-through-danantara-joint-venture"
"Indonesia","UAE","2025","Supply Deal","Gas","Medium","""Mubadala Energy, Pupuk Indonesia""","Mubadala Energy (UAE) signed an initial agreement to supply gas to state fertiliser maker Pupuk Indonesia.","https://www.reuters.com/business/energy/uaes-mubadala-energy-pupuk-indonesia-sign-initial-gas-supply-deal-2025-05-20/"
"Indonesia","Saudi Arabia","2025","Investment Deals","Oil/Gas/Renewables","High","""Various Saudi and Indonesian companies""","""Saudi Arabia and Indonesia signed preliminary deals worth $27 billion in oil, gas, and alternative energy, including a $10 billion low-carbon project.""","https://oilprice.com/Latest-Energy-News/World-News/Saudi-Arabia-and-Indonesia-Ink-27-Billion-Worth-of-Oil-and-Energy-Deals.html"
"Indonesia","Saudi Arabia","2025","Technology Development","Renewables/Green Hydrogen","Medium","""Pertamina, Saudi Arabia""","Indonesia and Saudi Arabia are collaborating on technology development for up to 500 MW renewable energy and green hydrogen projects.","https://www.arabnews.com/node/2606988/%7B%7B"
"Indonesia","Saudi Arabia","2025","Investment Opportunities","Renewables","Medium","""ACWA Power, Indonesia Sovereign Wealth Fund""","ACWA Power (Saudi Arabia) signed initial agreements to explore investment opportunities in renewable energy projects with Indonesia's sovereign wealth fund.","https://www.reuters.com/world/asia-pacific/saudi-arabia-indonesia-sign-several-deals-worth-around-27-billion-state-news-2025-07-02/"
"Indonesia","Kuwait","2025","Block Development","Oil/Gas","High","""KUFPEC""","""Indonesia approved Kuwaiti explorer KUFPEC to develop the Anambas block in the Natuna Sea, with an investment of $1.54 billion.""","https://www.reuters.com/business/energy/indonesia-approves-kuwaiti-explorer-develop-anambas-block-natuna-sea-2025-05-15/"
"Indonesia","Qatar","2025","Joint Fund","Renewables/Downstream Industries","High","""Indonesia, Qatar""","""Qatar and Indonesia established a $4 billion joint fund for investments in Indonesia, focusing on renewable energy and downstream industries.""","https://www.middleeastmonitor.com/20250626-qatar-and-indonesia-must-channel-their-4-billion-fund-into-renewable-energy/"
"Indonesia","Bahrain","2025","Discussion/Investment","Energy","Low","""Indonesia, Bahrain""","The Indonesia-Bahrain Investment and Trade Forum 2025 showcased promising investment projects in the energy industry.","https://www.newsofbahrain.com/business/109690.html"
